Brand,Model Year,Mileage (miles),Fuel Type,Condition,Transmission,Resale Price
Ford,2009,148946,Electric,2,Automatic,22570
BMW,2020,158471,Electric,3,Automatic,19312
Ford,2005,112450,Diesel,2,Automatic,14972
Honda,2013,117547,Gasoline,4,Manual,25714
Honda,2016,55108,Diesel,4,Automatic,21456
Ford,2008,187479,Diesel,5,Manual,28403
Toyota,2021,95272,Electric,3,Manual,16683
Ford,2016,49064,Gasoline,1,Manual,5627
Honda,2010,75271,Diesel,1,Automatic,4105
Honda,2005,117893,Diesel,4,Manual,11580
Ford,2016,131063,Electric,3,Automatic,23233
Chevrolet,2003,52254,Gasoline,4,Manual,3542
Ford,2020,108727,Gasoline,3,Manual,15807
Honda,2010,75271,Diesel,1,Automatic,4105
BMW,2014,105689,Gasoline,4,Manual,17368
Honda,2016,55108,Diesel,4,Automatic,21456
Chevrolet,2002,26357,Electric,4,Manual,27031
BMW,2014,35306,Electric,2,Automatic,8313
Honda,2010,75271,Diesel,1,Automatic,4105
Honda,2004,82505,Gasoline,1,Automatic,27470
Chevrolet,2014,37711,Electric,4,Manual,24361
Chevrolet,2011,122796,Diesel,3,Automatic,19749
Toyota,2019,178714,Diesel,1,Manual,3324
Ford,2011,121336,Diesel,5,Automatic,27289
BMW,2007,94045,Diesel,4,Automatic,9651
Toyota,2001,117296,Electric,4,Automatic,8530
Ford,2012,125975,Electric,1,Automatic,21065
Ford,2009,148946,Electric,2,Automatic,22570
Toyota,2001,117296,Electric,4,Automatic,8530
Honda,2005,117893,Diesel,4,Manual,11580
Chevrolet,2007,125885,Diesel,5,Automatic,3810
Ford,2011,25932,Electric,2,Manual,28432
BMW,2004,161256,Gasoline,1,Automatic,3062
Toyota,2004,176890,Diesel,3,Manual,24700
BMW,2020,158471,Electric,3,Automatic,19312
Chevrolet,2006,179088,Diesel,5,Manual,27086
Ford,2016,49064,Gasoline,1,Manual,5627
Toyota,2001,99179,Electric,2,Manual,12188
Toyota,2005,182286,Diesel,4,Automatic,15428
Ford,2012,42504,Gasoline,2,Manual,19337
BMW,2006,90981,Diesel,1,Automatic,15964
Ford,2016,49064,Gasoline,1,Manual,5627
Toyota,2006,138272,Gasoline,5,Automatic,27657
Chevrolet,2006,101601,Gasoline,5,Automatic,27793
Honda,2011,39698,Diesel,2,Manual,22020
Chevrolet,2021,10539,Gasoline,2,Manual,17485
Ford,2000,17183,Gasoline,5,Automatic,7301
Ford,2011,43360,Gasoline,1,Automatic,5709
BMW,2006,90981,Diesel,1,Automatic,15964
Chevrolet,2002,71690,Electric,4,Automatic,5141
Chevrolet,2007,91202,Electric,4,Automatic,23545
Chevrolet,2006,144752,Gasoline,3,Automatic,8801
Chevrolet,2001,183047,Diesel,5,Manual,25003
Toyota,2002,129249,Gasoline,5,Manual,7334
Ford,2004,138883,Gasoline,4,Automatic,6729
Ford,2012,42504,Gasoline,2,Manual,19337
BMW,2016,44384,Gasoline,5,Automatic,13516
Chevrolet,2006,179088,Diesel,5,Manual,27086
Toyota,2008,189423,Diesel,4,Manual,13714
BMW,2009,16111,Diesel,2,Automatic,25625
Honda,2004,82505,Gasoline,1,Automatic,27470
BMW,2015,27671,Diesel,5,Manual,29192
Chevrolet,2002,54811,Diesel,5,Manual,29870
Ford,2011,43360,Gasoline,1,Automatic,5709
BMW,2000,122858,Electric,5,Manual,6312
Honda,2019,197339,Electric,2,Automatic,22652
Honda,2008,111081,Electric,1,Automatic,23972
Ford,2001,116472,Gasoline,5,Automatic,29812
Chevrolet,2002,71690,Electric,4,Automatic,5141
Toyota,2019,178714,Diesel,1,Manual,3324
BMW,2014,105689,Gasoline,4,Manual,17368
Chevrolet,2019,34855,Diesel,5,Automatic,10691
Toyota,2001,117296,Electric,4,Automatic,8530
Chevrolet,2012,20151,Electric,4,Automatic,27731
Chevrolet,2011,122796,Diesel,3,Automatic,19749
Honda,2002,20708,Diesel,5,Automatic,13174
Toyota,2002,129249,Gasoline,5,Manual,7334
Toyota,2016,7869,Gasoline,4,Automatic,11576
Honda,2008,111081,Electric,1,Automatic,23972
Chevrolet,2010,197506,Electric,1,Manual,28256
Ford,2009,138121,Electric,5,Automatic,23925
Ford,2011,25932,Electric,2,Manual,28432
Chevrolet,2012,20151,Electric,4,Automatic,27731
Toyota,2001,63871,Diesel,3,Manual,2823
Chevrolet,2011,122796,Diesel,3,Automatic,19749
Toyota,2021,95272,Electric,3,Manual,16683
Honda,2011,39698,Diesel,2,Manual,22020
Ford,2011,121336,Diesel,5,Automatic,27289
BMW,2021,56663,Electric,4,Automatic,23689
Honda,2013,138983,Electric,2,Automatic,26394
BMW,2000,96412,Electric,1,Manual,3531
Ford,2005,112450,Diesel,2,Automatic,14972
Honda,2011,39698,Diesel,2,Manual,22020
BMW,2021,56663,Electric,4,Automatic,23689
Honda,2011,39698,Diesel,2,Manual,22020
Toyota,2005,182286,Diesel,4,Automatic,15428
BMW,2015,27671,Diesel,5,Manual,29192
Honda,2011,178179,Diesel,4,Manual,26244
Toyota,2004,43467,Diesel,4,Automatic,2504
Chevrolet,2002,54811,Diesel,5,Manual,29870
Honda,2016,55108,Diesel,4,Automatic,21456
Toyota,2008,189423,Diesel,4,Manual,13714
Honda,2002,20708,Diesel,5,Automatic,13174
BMW,2000,122858,Electric,5,Manual,6312
Ford,2012,42504,Gasoline,2,Manual,19337
Toyota,2003,51843,Gasoline,2,Manual,25322
Honda,2013,117547,Gasoline,4,Manual,25714
Chevrolet,2007,125885,Diesel,5,Automatic,3810
Honda,2019,138629,Diesel,2,Automatic,11435
Toyota,2004,176890,Diesel,3,Manual,24700
Toyota,2004,176890,Diesel,3,Manual,24700
Chevrolet,2018,165371,Gasoline,2,Manual,28790
Honda,2005,117893,Diesel,4,Manual,11580
Chevrolet,2014,61250,Electric,3,Manual,11348
Ford,2000,85623,Diesel,4,Manual,3167
Toyota,2021,95272,Electric,3,Manual,16683
Ford,2020,108727,Gasoline,3,Manual,15807
Ford,2004,138883,Gasoline,4,Automatic,6729
Ford,2006,9499,Electric,2,Automatic,25803
Chevrolet,2006,101601,Gasoline,5,Automatic,27793
BMW,2014,105689,Gasoline,4,Manual,17368
Toyota,2012,167688,Diesel,5,Automatic,28962
Chevrolet,2011,122796,Diesel,3,Automatic,19749
Chevrolet,2006,188155,Diesel,2,Manual,13130
Honda,2012,196785,Gasoline,2,Automatic,19575
Chevrolet,2006,13155,Electric,2,Automatic,9056
Honda,2008,111081,Electric,1,Automatic,23972
Honda,2016,55108,Diesel,4,Automatic,21456
Chevrolet,2014,37711,Electric,4,Manual,24361
BMW,2016,44384,Gasoline,5,Automatic,13516
BMW,2004,161256,Gasoline,1,Automatic,3062
BMW,2011,133391,Gasoline,5,Manual,7029
Ford,2005,11295,Diesel,2,Automatic,21870
Chevrolet,2018,165371,Gasoline,2,Manual,28790
Toyota,2006,138272,Gasoline,5,Automatic,27657
Ford,2011,121336,Diesel,5,Automatic,27289
Ford,2009,138121,Electric,5,Automatic,23925
Chevrolet,2010,197506,Electric,1,Manual,28256
BMW,2004,161256,Gasoline,1,Automatic,3062
Chevrolet,2000,28328,Diesel,1,Manual,3214
Toyota,2008,189423,Diesel,4,Manual,13714
Ford,2000,96906,Gasoline,4,Manual,24925
Chevrolet,2018,137874,Diesel,5,Automatic,4539
Ford,2004,64040,Gasoline,1,Automatic,21307
Toyota,2001,117296,Electric,4,Automatic,8530
BMW,2014,35306,Electric,2,Automatic,8313
Honda,2010,75271,Diesel,1,Automatic,4105
Chevrolet,2006,101601,Gasoline,5,Automatic,27793
Chevrolet,2000,28328,Diesel,1,Manual,3214
Ford,2004,64040,Gasoline,1,Automatic,21307
Chevrolet,2002,71690,Electric,4,Automatic,5141
Chevrolet,2001,183047,Diesel,5,Manual,25003
BMW,2002,98384,Electric,5,Automatic,20540
Chevrolet,2002,26357,Electric,4,Manual,27031
BMW,2015,27671,Diesel,5,Manual,29192
Chevrolet,2018,165371,Gasoline,2,Manual,28790
Toyota,2005,182286,Diesel,4,Automatic,15428
Toyota,2008,189423,Diesel,4,Manual,13714
Chevrolet,2006,101601,Gasoline,5,Automatic,27793
Honda,2019,138629,Diesel,2,Automatic,11435
Toyota,2006,138272,Gasoline,5,Automatic,27657
Toyota,2006,138272,Gasoline,5,Automatic,27657
BMW,2014,105689,Gasoline,4,Manual,17368
BMW,2004,161256,Gasoline,1,Automatic,3062
Ford,2000,96906,Gasoline,4,Manual,24925
Ford,2009,138121,Electric,5,Automatic,23925
Honda,2008,111081,Electric,1,Automatic,23972
Toyota,2018,112512,Gasoline,5,Manual,19924
Chevrolet,2002,26357,Electric,4,Manual,27031
Chevrolet,2012,20151,Electric,4,Automatic,27731
Toyota,2004,43467,Diesel,4,Automatic,2504
Ford,2004,64040,Gasoline,1,Automatic,21307
Ford,2016,49064,Gasoline,1,Manual,5627
Honda,2011,39698,Diesel,2,Manual,22020
Honda,2013,117547,Gasoline,4,Manual,25714
Chevrolet,2000,28328,Diesel,1,Manual,3214
Toyota,2004,43467,Diesel,4,Automatic,2504
Chevrolet,2021,10539,Gasoline,2,Manual,17485
Ford,2016,49064,Gasoline,1,Manual,5627
Chevrolet,2019,34855,Diesel,5,Automatic,10691
BMW,2007,94045,Diesel,4,Automatic,9651
Toyota,2002,129249,Gasoline,5,Manual,7334
Ford,2020,108727,Gasoline,3,Manual,15807
Toyota,2012,167688,Diesel,5,Automatic,28962
Ford,2008,187479,Diesel,5,Manual,28403
Honda,2012,196785,Gasoline,2,Automatic,19575
Toyota,2002,129249,Gasoline,5,Manual,7334
Toyota,2001,63871,Diesel,3,Manual,2823
Ford,2020,108727,Gasoline,3,Manual,15807
BMW,2000,122858,Electric,5,Manual,6312
Ford,2016,131063,Electric,3,Automatic,23233
Toyota,2016,7869,Gasoline,4,Automatic,11576
Honda,2008,131071,Diesel,4,Automatic,8588
Ford,2011,121336,Diesel,5,Automatic,27289
BMW,2021,56663,Electric,4,Automatic,23689
BMW,2009,16111,Diesel,2,Automatic,25625
BMW,2020,158471,Electric,3,Automatic,19312
Ford,2011,43360,Gasoline,1,Automatic,5709
Chevrolet,2007,91202,Electric,4,Automatic,23545
Honda,2011,39698,Diesel,2,Manual,22020
Toyota,2012,167688,Diesel,5,Automatic,28962
Chevrolet,2002,71690,Electric,4,Automatic,5141
Ford,2006,9499,Electric,2,Automatic,25803
Toyota,2008,89896,Gasoline,1,Automatic,6846
BMW,2014,105689,Gasoline,4,Manual,17368
Ford,2012,42504,Gasoline,2,Manual,19337
Ford,2008,187479,Diesel,5,Manual,28403
Honda,2011,39698,Diesel,2,Manual,22020
Toyota,2004,176890,Diesel,3,Manual,24700
Chevrolet,2002,26357,Electric,4,Manual,27031
Toyota,2001,99179,Electric,2,Manual,12188
Ford,2006,9499,Electric,2,Automatic,25803
Ford,2011,25932,Electric,2,Manual,28432
Chevrolet,2012,20151,Electric,4,Automatic,27731
Toyota,2004,43467,Diesel,4,Automatic,2504
Toyota,2004,43467,Diesel,4,Automatic,2504
Honda,2001,115078,Diesel,3,Automatic,29798
Chevrolet,2021,10539,Gasoline,2,Manual,17485
Chevrolet,2012,20151,Electric,4,Automatic,27731
Ford,2005,11295,Diesel,2,Automatic,21870
Honda,2011,178179,Diesel,4,Manual,26244
Ford,2009,148946,Electric,2,Automatic,22570
Toyota,2004,26918,Gasoline,5,Automatic,23677
Chevrolet,2021,10539,Gasoline,2,Manual,17485
Honda,2011,178179,Diesel,4,Manual,26244
Chevrolet,2016,124121,Gasoline,2,Automatic,15116
Chevrolet,2018,137874,Diesel,5,Automatic,4539
Ford,2009,148946,Electric,2,Automatic,22570
Chevrolet,2007,91202,Electric,4,Automatic,23545
Honda,2011,39698,Diesel,2,Manual,22020
Ford,2011,25932,Electric,2,Manual,28432
Honda,2011,39698,Diesel,2,Manual,22020
Toyota,2008,89896,Gasoline,1,Automatic,6846
Toyota,2001,63871,Diesel,3,Manual,2823
Toyota,2019,178714,Diesel,1,Manual,3324
BMW,2006,90981,Diesel,1,Automatic,15964
Honda,2010,152718,Electric,1,Manual,29569
Chevrolet,2011,122796,Diesel,3,Automatic,19749
Toyota,2004,43467,Diesel,4,Automatic,2504
Toyota,2001,99179,Electric,2,Manual,12188
BMW,2014,105689,Gasoline,4,Manual,17368
Honda,2013,117547,Gasoline,4,Manual,25714
Chevrolet,2002,71690,Electric,4,Automatic,5141
Ford,2009,148946,Electric,2,Automatic,22570
Toyota,2012,167688,Diesel,5,Automatic,28962
Chevrolet,2007,91202,Electric,4,Automatic,23545
BMW,2002,98384,Electric,5,Automatic,20540
Honda,2010,75271,Diesel,1,Automatic,4105
BMW,2014,105689,Gasoline,4,Manual,17368
Toyota,2004,176890,Diesel,3,Manual,24700
Ford,2011,121336,Diesel,5,Automatic,27289
Chevrolet,2018,165371,Gasoline,2,Manual,28790
BMW,2004,161256,Gasoline,1,Automatic,3062
Toyota,2008,189423,Diesel,4,Manual,13714
Toyota,2004,176890,Diesel,3,Manual,24700
Ford,2016,49064,Gasoline,1,Manual,5627
Ford,2012,125975,Electric,1,Automatic,21065
Honda,2016,197207,Diesel,3,Manual,12150
BMW,2020,158471,Electric,3,Automatic,19312
Toyota,2003,51843,Gasoline,2,Manual,25322
Ford,2000,85623,Diesel,4,Manual,3167
Honda,2011,178179,Diesel,4,Manual,26244
Chevrolet,2006,101601,Gasoline,5,Automatic,27793
Chevrolet,2014,37711,Electric,4,Manual,24361
Toyota,2004,43467,Diesel,4,Automatic,2504
Honda,2013,138983,Electric,2,Automatic,26394
BMW,2000,96412,Electric,1,Manual,3531
Chevrolet,2019,34855,Diesel,5,Automatic,10691
BMW,2014,35306,Electric,2,Automatic,8313
Ford,2009,138121,Electric,5,Automatic,23925
BMW,2020,158471,Electric,3,Automatic,19312
Toyota,2004,176890,Diesel,3,Manual,24700
Honda,2016,55108,Diesel,4,Automatic,21456
Toyota,2016,7869,Gasoline,4,Automatic,11576
Chevrolet,2007,125885,Diesel,5,Automatic,3810
Chevrolet,2002,54811,Diesel,5,Manual,29870
Chevrolet,2002,26357,Electric,4,Manual,27031
Toyota,2008,89896,Gasoline,1,Automatic,6846
Honda,2008,131071,Diesel,4,Automatic,8588
Chevrolet,2018,137874,Diesel,5,Automatic,4539
Honda,2004,82505,Gasoline,1,Automatic,27470
Toyota,2014,76295,Diesel,3,Manual,8731
Ford,2004,138883,Gasoline,4,Automatic,6729
Chevrolet,2011,122796,Diesel,3,Automatic,19749
Honda,2004,82505,Gasoline,1,Automatic,27470
Toyota,2001,117296,Electric,4,Automatic,8530
BMW,2018,140059,Electric,5,Automatic,25960
Honda,2001,115078,Diesel,3,Automatic,29798
Honda,2013,138983,Electric,2,Automatic,26394
Chevrolet,2003,52254,Gasoline,4,Manual,3542
Ford,2012,125975,Electric,1,Automatic,21065
Honda,2008,111081,Electric,1,Automatic,23972
Ford,2005,112450,Diesel,2,Automatic,14972
Honda,2016,197207,Diesel,3,Manual,12150
BMW,2018,140059,Electric,5,Automatic,25960
Honda,2012,196785,Gasoline,2,Automatic,19575
Chevrolet,2002,71690,Electric,4,Automatic,5141
Toyota,2003,51843,Gasoline,2,Manual,25322
Honda,2008,111081,Electric,1,Automatic,23972
Chevrolet,2006,179088,Diesel,5,Manual,27086
Honda,2013,117547,Gasoline,4,Manual,25714
Toyota,2012,167688,Diesel,5,Automatic,28962
Chevrolet,2006,144752,Gasoline,3,Automatic,8801
Honda,2000,12400,Diesel,4,Automatic,9494
BMW,2000,96412,Electric,1,Manual,3531
Honda,2019,138629,Diesel,2,Automatic,11435
Chevrolet,2006,188155,Diesel,2,Manual,13130
Honda,2012,196785,Gasoline,2,Automatic,19575
Honda,2016,55108,Diesel,4,Automatic,21456
Toyota,2005,182286,Diesel,4,Automatic,15428
Honda,2019,197339,Electric,2,Automatic,22652
Ford,2012,125975,Electric,1,Automatic,21065
Toyota,2004,43467,Diesel,4,Automatic,2504
Honda,2016,55108,Diesel,4,Automatic,21456
Chevrolet,2002,26357,Electric,4,Manual,27031
Chevrolet,2006,13155,Electric,2,Automatic,9056
Chevrolet,2000,39754,Gasoline,2,Manual,10924
Honda,2010,152718,Electric,1,Manual,29569
Honda,2008,111081,Electric,1,Automatic,23972
Ford,2000,85623,Diesel,4,Manual,3167
Toyota,2016,7869,Gasoline,4,Automatic,11576
Honda,2012,196785,Gasoline,2,Automatic,19575
Chevrolet,2001,183047,Diesel,5,Manual,25003
BMW,2014,105689,Gasoline,4,Manual,17368
Ford,2016,49064,Gasoline,1,Manual,5627
BMW,2011,133391,Gasoline,5,Manual,7029
Toyota,2008,189423,Diesel,4,Manual,13714
Chevrolet,2002,71690,Electric,4,Automatic,5141
Chevrolet,2006,13155,Electric,2,Automatic,9056
Toyota,2016,7869,Gasoline,4,Automatic,11576
Honda,2013,138983,Electric,2,Automatic,26394
Chevrolet,2014,61250,Electric,3,Manual,11348
BMW,2016,44384,Gasoline,5,Automatic,13516
Toyota,2019,178714,Diesel,1,Manual,3324
Honda,2004,82505,Gasoline,1,Automatic,27470
BMW,2016,44384,Gasoline,5,Automatic,13516
Honda,2002,20708,Diesel,5,Automatic,13174
BMW,2018,140059,Electric,5,Automatic,25960
Honda,2016,55108,Diesel,4,Automatic,21456
Chevrolet,2014,61250,Electric,3,Manual,11348
BMW,2020,158471,Electric,3,Automatic,19312
Toyota,2003,51843,Gasoline,2,Manual,25322
Ford,2005,112450,Diesel,2,Automatic,14972
BMW,2004,161256,Gasoline,1,Automatic,3062
Honda,2010,152718,Electric,1,Manual,29569
Chevrolet,2002,54811,Diesel,5,Manual,29870
Chevrolet,2006,188155,Diesel,2,Manual,13130
Honda,2010,75271,Diesel,1,Automatic,4105
BMW,2007,94045,Diesel,4,Automatic,9651
Honda,2010,152718,Electric,1,Manual,29569
Honda,2005,117893,Diesel,4,Manual,11580
Honda,2008,131071,Diesel,4,Automatic,8588
Chevrolet,2007,125885,Diesel,5,Automatic,3810
Chevrolet,2002,54811,Diesel,5,Manual,29870
Chevrolet,2007,125885,Diesel,5,Automatic,3810
Toyota,2016,7869,Gasoline,4,Automatic,11576
Honda,2010,152718,Electric,1,Manual,29569
Toyota,2005,182286,Diesel,4,Automatic,15428
Chevrolet,2000,39754,Gasoline,2,Manual,10924
Chevrolet,2002,71690,Electric,4,Automatic,5141
BMW,2015,27671,Diesel,5,Manual,29192
BMW,2018,140059,Electric,5,Automatic,25960
Honda,2019,197339,Electric,2,Automatic,22652
Chevrolet,2001,183047,Diesel,5,Manual,25003
Chevrolet,2002,26357,Electric,4,Manual,27031
Toyota,2008,189423,Diesel,4,Manual,13714
Honda,2010,75271,Diesel,1,Automatic,4105
Chevrolet,2010,197506,Electric,1,Manual,28256
Ford,2016,49064,Gasoline,1,Manual,5627
Honda,2011,39698,Diesel,2,Manual,22020
Chevrolet,2006,188155,Diesel,2,Manual,13130
Chevrolet,2001,183047,Diesel,5,Manual,25003
Toyota,2005,182286,Diesel,4,Automatic,15428
Honda,2010,152718,Electric,1,Manual,29569
Chevrolet,2006,179088,Diesel,5,Manual,27086
Honda,2016,55108,Diesel,4,Automatic,21456
BMW,2007,94045,Diesel,4,Automatic,9651
Ford,2005,112450,Diesel,2,Automatic,14972
Honda,2010,75271,Diesel,1,Automatic,4105
Chevrolet,2002,54811,Diesel,5,Manual,29870
BMW,2007,94045,Diesel,4,Automatic,9651
Toyota,2001,63871,Diesel,3,Manual,2823
BMW,2018,140059,Electric,5,Automatic,25960
Chevrolet,2003,52254,Gasoline,4,Manual,3542
Honda,2016,197207,Diesel,3,Manual,12150
Toyota,2019,178714,Diesel,1,Manual,3324
Chevrolet,2003,52254,Gasoline,4,Manual,3542
BMW,2016,44384,Gasoline,5,Automatic,13516
Honda,2011,39698,Diesel,2,Manual,22020
BMW,2003,91416,Electric,3,Automatic,18517
Toyota,2001,63871,Diesel,3,Manual,2823
Chevrolet,2016,124121,Gasoline,2,Automatic,15116
Toyota,2001,63871,Diesel,3,Manual,2823
Chevrolet,2002,26357,Electric,4,Manual,27031
Honda,2013,138983,Electric,2,Automatic,26394
BMW,2016,44384,Gasoline,5,Automatic,13516
Ford,2006,9499,Electric,2,Automatic,25803
Toyota,2001,117296,Electric,4,Automatic,8530
Chevrolet,2019,117561,Gasoline,1,Manual,13493
Toyota,2008,189423,Diesel,4,Manual,13714
Honda,2010,75271,Diesel,1,Automatic,4105
BMW,2004,161256,Gasoline,1,Automatic,3062
Chevrolet,2001,183047,Diesel,5,Manual,25003
Chevrolet,2007,125885,Diesel,5,Automatic,3810
Chevrolet,2000,28328,Diesel,1,Manual,3214
BMW,2003,91416,Electric,3,Automatic,18517
Ford,2012,42504,Gasoline,2,Manual,19337
Chevrolet,2018,165371,Gasoline,2,Manual,28790
Chevrolet,2014,61250,Electric,3,Manual,11348
BMW,2018,140059,Electric,5,Automatic,25960
Honda,2008,111081,Electric,1,Automatic,23972
BMW,2004,161256,Gasoline,1,Automatic,3062
Honda,2010,152718,Electric,1,Manual,29569
Chevrolet,2000,39754,Gasoline,2,Manual,10924
Ford,2004,64040,Gasoline,1,Automatic,21307
Ford,2004,147483,Electric,4,Manual,6330
BMW,2000,96412,Electric,1,Manual,3531
BMW,2016,44384,Gasoline,5,Automatic,13516
Honda,2016,55108,Diesel,4,Automatic,21456
Chevrolet,2021,10539,Gasoline,2,Manual,17485
Chevrolet,2002,54811,Diesel,5,Manual,29870
Chevrolet,2012,20151,Electric,4,Automatic,27731
Chevrolet,2006,188155,Diesel,2,Manual,13130
BMW,2000,96412,Electric,1,Manual,3531
Chevrolet,2018,137874,Diesel,5,Automatic,4539
Chevrolet,2018,165371,Gasoline,2,Manual,28790
Honda,2013,138983,Electric,2,Automatic,26394
Ford,2005,11295,Diesel,2,Automatic,21870
Chevrolet,2018,137874,Diesel,5,Automatic,4539
BMW,2002,98384,Electric,5,Automatic,20540
Chevrolet,2006,101601,Gasoline,5,Automatic,27793
Ford,2004,147483,Electric,4,Manual,6330
BMW,2000,122858,Electric,5,Manual,6312
BMW,2003,91416,Electric,3,Automatic,18517
BMW,2003,91416,Electric,3,Automatic,18517
Ford,2012,125975,Electric,1,Automatic,21065
BMW,2014,105689,Gasoline,4,Manual,17368
Honda,2005,117893,Diesel,4,Manual,11580
Toyota,2006,138272,Gasoline,5,Automatic,27657
BMW,2007,94045,Diesel,4,Automatic,9651
BMW,2003,91416,Electric,3,Automatic,18517
Chevrolet,2003,52254,Gasoline,4,Manual,3542
Honda,2010,75271,Diesel,1,Automatic,4105
Toyota,2018,112512,Gasoline,5,Manual,19924
Toyota,2006,138272,Gasoline,5,Automatic,27657
Chevrolet,2021,152443,Electric,1,Manual,24556
Chevrolet,2021,10539,Gasoline,2,Manual,17485
Honda,2011,39698,Diesel,2,Manual,22020
Ford,2004,64040,Gasoline,1,Automatic,21307
Chevrolet,2021,10539,Gasoline,2,Manual,17485
Chevrolet,2019,34855,Diesel,5,Automatic,10691
Ford,2009,148946,Electric,2,Automatic,22570
BMW,2018,140059,Electric,5,Automatic,25960
Honda,2016,55108,Diesel,4,Automatic,21456
Honda,2013,117547,Gasoline,4,Manual,25714
Chevrolet,2000,39754,Gasoline,2,Manual,10924
Chevrolet,2006,13155,Electric,2,Automatic,9056
Ford,2016,131063,Electric,3,Automatic,23233
Chevrolet,2010,197506,Electric,1,Manual,28256
Chevrolet,2006,144752,Gasoline,3,Automatic,8801
Ford,2020,108727,Gasoline,3,Manual,15807
BMW,2007,94045,Diesel,4,Automatic,9651
Chevrolet,2011,122796,Diesel,3,Automatic,19749
BMW,2002,98384,Electric,5,Automatic,20540
Toyota,2002,129249,Gasoline,5,Manual,7334
Honda,2012,196785,Gasoline,2,Automatic,19575
Ford,2012,125975,Electric,1,Automatic,21065
BMW,2009,16111,Diesel,2,Automatic,25625
Toyota,2001,63871,Diesel,3,Manual,2823
Honda,2019,197339,Electric,2,Automatic,22652
Honda,2019,197339,Electric,2,Automatic,22652
Toyota,2016,7869,Gasoline,4,Automatic,11576
Ford,2004,147483,Electric,4,Manual,6330
Honda,2002,20708,Diesel,5,Automatic,13174
BMW,2009,16111,Diesel,2,Automatic,25625
Chevrolet,2007,125885,Diesel,5,Automatic,3810
Ford,2012,125975,Electric,1,Automatic,21065
Chevrolet,2006,179088,Diesel,5,Manual,27086
Chevrolet,2016,124121,Gasoline,2,Automatic,15116
Ford,2012,125975,Electric,1,Automatic,21065
BMW,2002,98384,Electric,5,Automatic,20540
BMW,2009,16111,Diesel,2,Automatic,25625
Honda,2004,82505,Gasoline,1,Automatic,27470
BMW,2007,94045,Diesel,4,Automatic,9651
Toyota,2019,178714,Diesel,1,Manual,3324
Chevrolet,2006,179088,Diesel,5,Manual,27086
Honda,2011,39698,Diesel,2,Manual,22020
Ford,2012,125975,Electric,1,Automatic,21065
Chevrolet,2010,197506,Electric,1,Manual,28256
Toyota,2019,178714,Diesel,1,Manual,3324
Ford,2000,17183,Gasoline,5,Automatic,7301
Chevrolet,2001,183047,Diesel,5,Manual,25003
Honda,2019,197339,Electric,2,Automatic,22652
Toyota,2008,189423,Diesel,4,Manual,13714
Chevrolet,2006,13155,Electric,2,Automatic,9056
Toyota,2014,76295,Diesel,3,Manual,8731
Toyota,2003,51843,Gasoline,2,Manual,25322
Chevrolet,2016,124121,Gasoline,2,Automatic,15116
